window,train_start,train_end,validation_start,validation_end,selected_step,validation_return,validation_annual,validation_drawdown,validation_sharpe,capital_utilization,entries,code,name
1,2025-03-12,2026-03-13,2026-03-16,2026-08-12,2%,-3.557528830544787,-8.560567741571267,-12.748906925178161,-0.546353655339641,73.14122410204246,4,159209,红利质量ETF
1,2025-02-19,2026-03-06,2026-03-09,2026-08-12,2%,-10.67701297205863,-23.35010740283492,-18.31364469421223,-1.8915219611452536,67.67866663429028,4,159399,现金流ETF
1,2024-03-06,2025-03-26,2025-03-27,2025-09-25,3%,1.8577134447070431,3.749937881840548,-1.7861644270639965,0.9565318952601116,40.72641593581996,2,159581,红利ETF
2,2024-09-12,2025-09-25,2025-09-26,2026-04-13,2%,0.5736705846562273,1.1506321487094517,-1.4365429635398885,0.4691458433433803,20.549030213673742,1,159581,红利ETF
