window,train_start,train_end,validation_start,validation_end,selected_step,validation_return,validation_annual,validation_drawdown,validation_sharpe,validation_entries,capital_utilization,code,name
1,2024-03-06 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-09-25 00:00:00,3%,1.8475276733625812,3.729188931763572,-1.7861644270639965,0.9527452236723694,2,40.72641593581996,159581,红利ETF
2,2024-09-12 00:00:00,2025-09-25 00:00:00,2025-09-26 00:00:00,2026-04-13 00:00:00,2%,0.5636132175977471,1.1304030337859983,-1.4365429635398885,0.46729376597389727,1,20.549030213673742,159581,红利ETF
