step,return,annual,drawdown,sharpe,score,entries,utilization,code,name
0.02,18.382202548502534,13.323027143902898,-17.707709805440754,1.0018861342878687,6.125630013726904,4,92.52534654007766,159209,红利质量ETF
0.03,13.52512151695322,9.858300419557441,-14.124284208278937,0.9525095826721932,4.961822116139513,3,69.3961476300782,159209,红利质量ETF
0.04,8.534622786847624,6.258183656270866,-10.009185160286037,0.8719466377068851,3.743094709198881,2,46.08404162138706,159209,红利质量ETF
0.05,8.534622786847624,6.258183656270866,-10.009185160286037,0.8719466377068851,3.743094709198881,2,46.08404162138706,159209,红利质量ETF
0.06,8.534622786847624,6.258183656270866,-10.009185160286037,0.8719466377068851,3.743094709198881,2,46.08404162138706,159209,红利质量ETF
0.08,3.3003292699875564,2.435821000155114,-5.199436002571134,0.6504119799432025,2.1292592393929377,1,22.485800017328824,159209,红利质量ETF
0.1,3.3003292699875564,2.435821000155114,-5.199436002571134,0.6504119799432025,2.1292592393929377,1,22.485800017328824,159209,红利质量ETF
0.02,5.281117851036088,3.699536375518231,-13.542843635642265,0.4922824846879051,0.6180469146943777,4,47.254010380834465,159399,现金流ETF
0.03,6.450591218845059,4.511323861256233,-12.603672589277437,0.5976893672462397,1.527995514511348,4,47.07831566909956,159399,现金流ETF
0.04,4.556580461641846,3.1952699338283708,-12.211054636034524,0.4743192741501156,0.5783818621576273,3,45.19711043714304,159399,现金流ETF
0.05,2.3075839575134705,1.6234094765021911,-12.103515714568902,0.2776386934973371,-0.7760823241706736,2,43.22723477478736,159399,现金流ETF
0.06,2.3075839575134705,1.6234094765021911,-12.103515714568902,0.2776386934973371,-0.7760823241706736,2,43.22723477478736,159399,现金流ETF
0.08,2.549026220997752,1.7926408795069682,-6.290897094127368,0.448979101922306,0.9850783266949279,2,23.56194853524416,159399,现金流ETF
0.1,0.30002971686939883,0.21169235911278061,-6.176498951146458,0.07789824820276746,-0.895758866064599,1,21.592072872888476,159399,现金流ETF
0.02,7.577471618125364,3.1908656720424977,-12.056936077959135,0.3227801370623217,0.1523860316163872,4,73.84447005811575,159581,红利ETF
0.03,9.225082102767912,3.8675604132361263,-12.096338114645267,0.37764690005278995,0.647453283847379,4,74.62668091754568,159581,红利ETF
0.04,6.816450194450563,2.8763099105846957,-9.370126449759963,0.356499780064758,0.6336290055346292,3,56.43223710416264,159581,红利ETF
0.05,7.122747831199949,3.0030661343564358,-9.385538398402204,0.3696796022277641,0.7334641941810696,3,56.5708973721297,159581,红利ETF
0.06,3.79165555580685,1.6132636789490062,-6.398997335115797,0.2889270070097654,0.39361339348063984,2,38.34419079640688,159581,红利ETF
0.08,4.719880740496563,2.0030630382422254,-6.474625759341912,0.34872934959091234,0.7527944160254672,2,38.96249639816855,159581,红利ETF
0.1,4.746028366426369,2.0140149103085703,-6.476736078149625,0.3503943467554427,0.7628432797906881,2,38.91435002208746,159581,红利ETF
