date,price,score,signal
2025-02-19,1.0,,0
2025-02-21,1.0003000497817993,,0
2025-02-26,1.0011999607086182,,0
2025-02-27,1.00600004196167,,0
2025-02-28,0.996999979019165,,0
2025-03-03,1.0,,0
2025-03-04,0.996999979019165,,0
2025-03-05,1.0,,0
2025-03-06,1.00600004196167,,0
2025-03-07,1.0089999437332153,,0
2025-03-10,1.0110000371932983,,0
2025-03-11,1.0140000581741333,,0
2025-03-12,1.0130000114440918,,0
2025-03-13,1.0160000324249268,,0
2025-03-14,1.0219999551773071,,0
2025-03-17,1.0240000486373901,,0
2025-03-18,1.0240000486373901,,0
2025-03-19,1.0210000276565552,,0
2025-03-20,1.0190000534057617,,0
2025-03-21,1.0169999599456787,,0
2025-03-24,1.0219999551773071,,0
2025-03-25,1.024999976158142,,0
2025-03-26,1.0240000486373901,,0
2025-03-27,1.0199999809265137,,0
2025-03-28,1.0140000581741333,,0
2025-03-31,1.0149999856948853,,0
2025-04-01,1.0160000324249268,,0
2025-04-02,1.0130000114440918,,0
2025-04-03,1.0069999694824219,,0
2025-04-07,0.921999990940094,,0
2025-04-08,0.968999981880188,,0
2025-04-09,0.9649999737739563,,0
2025-04-10,0.9729999899864197,,0
2025-04-11,0.968999981880188,,0
2025-04-14,0.9769999980926514,,0
2025-04-15,0.9789999723434448,,0
2025-04-16,0.9789999723434448,,0
2025-04-17,0.9789999723434448,,0
2025-04-18,0.9829999804496765,,0
2025-04-21,0.9810000061988831,,0
2025-04-22,0.9810000061988831,,0
2025-04-23,0.9819999933242798,,0
2025-04-24,0.9829999804496765,,0
2025-04-25,0.9819999933242798,,0
2025-04-28,0.9829999804496765,,0
2025-04-29,0.9810000061988831,,0
2025-04-30,0.9769999980926514,,0
2025-05-06,0.9829999804496765,,0
2025-05-07,0.9879999756813049,,0
2025-05-08,0.9900000095367432,,0
2025-05-09,0.9929999709129333,,0
2025-05-12,0.9990000128746033,,0
2025-05-13,1.003999948501587,,0
2025-05-14,1.0089999437332153,,0
2025-05-15,1.003999948501587,,0
2025-05-16,0.9959999918937683,,0
2025-05-19,1.0,,0
2025-05-20,1.0010000467300415,,0
2025-05-21,1.0110000371932983,,0
2025-05-22,1.0089999437332153,,0
2025-05-23,1.003000020980835,,0
2025-05-26,1.0019999742507935,,0
2025-05-27,0.9990000128746033,,0
2025-05-28,1.0069999694824219,,0
2025-05-29,1.0089999437332153,,0
2025-05-30,1.0110000371932983,,0
2025-06-03,1.003000020980835,,0
2025-06-04,1.003999948501587,,0
2025-06-05,1.003000020980835,,0
2025-06-06,1.00600004196167,,0
2025-06-09,1.0089999437332153,,0
2025-06-10,1.0080000162124634,,0
2025-06-11,1.0130000114440918,,0
2025-06-12,1.0119999647140503,,0
2025-06-13,1.0110000371932983,,0
2025-06-16,1.00600004196167,,0
2025-06-17,1.0110000371932983,,0
2025-06-18,1.0110000371932983,,0
2025-06-19,1.003999948501587,,0
2025-06-20,1.003000020980835,,0
2025-06-23,1.0019999742507935,,0
2025-06-24,1.00600004196167,,0
2025-06-25,1.0099999904632568,,0
2025-06-26,1.0110000371932983,,0
2025-06-27,1.0149999856948853,,0
2025-06-30,1.0180000066757202,,0
2025-07-01,1.0190000534057617,,0
2025-07-02,1.0329999923706055,,0
2025-07-03,1.0360000133514404,,0
2025-07-04,1.0369999408721924,,0
2025-07-07,1.031999945640564,,0
2025-07-08,1.0360000133514404,,0
2025-07-09,1.0329999923706055,,0
2025-07-10,1.0420000553131104,,0
2025-07-11,1.0460000038146973,,0
2025-07-14,1.0499999523162842,,0
2025-07-15,1.0449999570846558,,0
2025-07-16,1.0420000553131104,,0
2025-07-17,1.0429999828338623,,0
2025-07-18,1.0509999990463257,,0
2025-07-21,1.065999984741211,,0
2025-07-22,1.0850000381469727,,0
2025-07-23,1.0800000429153442,,0
2025-07-24,1.090000033378601,,0
2025-07-25,1.0829999446868896,,0
2025-07-28,1.0750000476837158,,0
2025-07-29,1.0779999494552612,,0
2025-07-30,1.0829999446868896,,0
2025-07-31,1.0579999685287476,,0
2025-08-01,1.0570000410079956,,0
2025-08-04,1.0609999895095825,,0
2025-08-05,1.0700000524520874,,0
2025-08-06,1.0750000476837158,,0
2025-08-07,1.0750000476837158,,0
