rank,type,code,name,yahoo_code,date,price,MA20,MA60,MA120,RSI14,MACD,return5,return20,return60,return120,drawdown20,drawdown120,volatility20,trend_score,momentum_score,drawdown_score,rsi_score,macd_score,volume_score,stability_score,score,state,signal
1,stock,601318,中国平安,601318.SS,2026-09-21,53.98,55.51,53.25,54.36,31.64,-0.0845,-1.37,-1.71,11.07,-4.17,-7.31,-10.18,22.48,12,5,9,3,0,8,8,45,偏弱,谨慎
2,stock,600519,贵州茅台,600519.SS,2026-09-21,1252.57,1289.19,1283.65,1312.63,32.67,-11.6027,-1.99,-3.99,4.82,-11.79,-5.82,-14.65,13.01,5,5,9,3,0,8,10,40,弱势,减仓风险
3,stock,300750,宁德时代,300750.SZ,2026-09-21,297.1,340.95,369.77,392.93,14.02,-20.5528,-11.87,-23.41,-24.28,-28.06,-21.61,-35.41,29.71,0,0,0,3,0,8,8,19,弱势,减仓风险
